Titles,Abstracts,Years,Categories
图书评论应当重视对书籍装帧艺术的评价,"图书评论是近代报刊业兴起后，在世界各国得到长足发展的一种新型评论体裁。而不论是书评理论还是书评实践都有一个不小的疏漏，即忽
视了图书的形式因素。因为图书是内容与形式的综合体，忽视了“图书形式”这一重要方面，会导致在图书评论活动中忽视对图书的出版形式这
一重要方面的品评论述，而这对于出版物的达到基本要求：“形神俱佳”（“形”指书装艺术，“神”指内容叙述）或最高要求“尽善尽美”（
“尽善”指内容而言，“尽美”指形式而言）无疑是有缺憾的。
    图书的形式因素即为书籍的装帧设计艺术（以下简称“书装艺术”）。它的内容应当包括：封面、封底、书脊、环衬、扉页、字体、字号、
插图、版式、护封等。装帧设计应是图书中的重要内容，顺理成章地应成为书评文章中不可或缺的评论对象。然而，在当前报刊上大量刊登的书
评文章中谈及这一方面的极为少见。这一偏颇势必会对中国出版物综合水平的提高产生不良的影响。",2007,出版工作
梁启超诗文的核心思想及艺术特色," 梁启超的诗文，爱国是核心，图强是手段。他提倡启民德、开民智、兴民权、振民气，鼓民力，志在改造国民、改造国家，使中华民族复起
于世界先进民族之林。为达强国目的，他主张：“我国产业幼稚，故宜采保护主义；我国资本缺乏，故又宜称采开放主义。”〔2 〕他还提出了
整顿国家财政要治本与治标“同时并举。”进行财政改革，整顿赋税、改革货币制度、建立银行制度，奖励公债，善用外债，裁减军费与行政费
用。其诗文中的不少主张切中时弊，切实可行，在今天仍有现实意义。",2007,近代文学研究
刘勰的艺术思维理论," 艺术思维问题，现在多纳入文艺心理学研究的范围，其实也应是文艺学探讨的对象。在中国古代文论中，蕴藏着非常丰富的艺术思维理论的
遗产。《文心雕龙》泛沦各种文体，刘勰采取的是杂文学观念。但从其创作论部分看，他是以诗、赋等纯文学体裁为核心的，所论创作思维主要
属于艺术思维。文学创作中的艺术思维，大致可以分为发生、营构、传达三个环节。当然，具体的创作过程未必截然分割为三个阶段，三者可能
相互渗透，前后贯通，发生中即已包含营构，营构中即已涵盖传达，短章的创作更可能一气呵成，一挥而就。但一般地说，一篇作品的完成是要
经历这三个环节的。刘勰之论艺术思维似乎意识到了这三个环节的区分。",2007,近代文学研究
肺癌早期诊断系统中形态学识别的研究与实现,"　系统的处理流程如以下 (1)-(7) 顺序，并对各模块的功能作简要叙述。
　　(1) 初始化模块 定义系统中使用的各种数据结构 , 对所有全局变量进行说明 , 并分配图象存储区等。 
　　(2) 图象获取模块 通过图象采集 , 得到一幅优质的细胞图象。 
　　(3) 图象预处理模块 对原始图象进行去噪、平滑和锐化等一系列的预处理，提高图象的质量，并清除显微图象中的过滤效应和电子光学中的“假象”问题。 
　　(4) 图象分割模块 主要功能是将细胞逐一从背景中分离出来。通过双重自适应阈值选取算法，求出一幅标示细胞所在位置和形状的二值图象，再经多次筛选后，得到感兴趣的区域。 
　　(5) 形态学识别模块 对划分出来的区域 , 利用形态学的有关特征对其进行再识别 , 标示出可疑区域。 
　　(6) 色度学识别模块 对可疑区域 , 利用色度学技术对其相关的色度特征进行分析判断 , 标示出有癌细胞的区域。 
　　(7) 专家系统 (ES) 和神经网络系统 (NNS) 主要是进一步完成检测、分类和判决等工作。根据上述模块得出的各种特征参数以及经过人机交互输入的现象和特征，经专家系统和神经网络算法处理后，得出最终的分析结果，并硬拷贝输出。 
　　以上介绍了系统中各模块的主要功能。为了保证系统的正确运行和分析结果的准确性，在系统的若干模块中还设计了人机交互功能。使用者可以通过数字化仪、键盘或光笔监控系统对误差进行校对，以弥补算法上的某些不足并充分发挥技术人员的作用，从而提高系统的性能和准确率。 ",2007,计算与语言
华东电力系统数据通信增值网的设计,"增值网通信服务软件的设计
　　增值网通信服务软件用于向上层应用提供统一的调用接口，实现各种应用层服务原语。 
　　华东电力信息网是一个具有多种网络协议和多种应用层协议的复杂网络。在网络层协议方面： (1) 华东网调和上海市调的 EMS/SCADA 主机的局域网采用了 DECNet 网，其接入采用 DECNet 协议通过 DECNet 网卡进入通信服务机； (2) 江苏、浙江、安徽的 EMS/SCADA 主机的接入则采用 TCP/IP ； (3) 对于有些老的 SCADA 系统，如江苏省调，其 RTU 主机要通过 SUN 通信服务机的串行口直接入网，所以通信服务软件要支持串行口链路协议。 
　　在应用层协议方面，由于电力部的部颁应用层协议是支持点对点通信的应用层协议，它不再适用于多点通信。为适应网络通信，我们对应用层协议进行了扩展，在部颁应用层协议的报文头加了 8 个字节的路由块，前 4 个字节为报文目的地址，后 4 个字节为报文源地址称之为扩展部颁应用层协议。因此，在华东信息网中同时存在以下几种应用层协议： (1) 大部分的接入系统应用层协议均采用扩展部颁应用层协议； (2) 由于历史原因，天荒坪电厂的接入采用点对点的部颁应用层协议； (3) 江苏 RTU 主机通过串行口接入，它的应用层协议必须遵循 RTU 的应用层通信规约，如《 Micro 4F 型远动装置功能说明和通信规约》 ( 以下简称《 m4f 》 ) 。 
　　由以上分析可知，通信服务机软件既要提供多种网络协议的支持，又要提供多种应用层协议的支持。为了充分实现可扩充性、可移植性、高效性、故障检测与隔离、便于调试、屏蔽低层细节及透明调用，通信服务软件强调协议分层：应用层和网络功能层。它提供两个调用界面：应用层调用界面和网络功能层调用界面。 ",2008,计算与语言
利息所得税：启动经济的新尝试,"储蓄存款利率下降与社会消费品增长有一定的相关关系：利率下降1个百分点，市场商品销售将增加1.8个百分点。但是1996年5月以来的7
次降息实践表明，降息对扩大内需、增加社会投资的作用越来越弱。其主要原因在于：首先，目前不仅城乡居民的即期收入上不去，而且对未
来的预期收入也不佳，同时政府机构精简、国有企业改革以及住房、养老、医疗、教育等各种制度的改革，使居民普遍感到预期支出的提高，
我国又没有建立起完善的社会保障制度，从而增强了居民的储蓄动机，以增强安全感。",2008,财政与税务
邓小平的发展理论与民族地区市场经济的发展趋势,"本文从稳定和发展是民族地区市场经济发展的基础；从不均衡到相对均衡是民族地区市
场经济发展的必然过程；科学技术是民族地区市场经济发展的动力；民族地区的发展以市场经济为主导，但也需使用计划经济手段进行适当的
调控；创造性、冒险精神和加速发展理论为民族地区市场经济发展指明了方向等主要方面，全面、系统地阐述了邓小平发展理论对民族地区市
场经济发展的积极影响和推动作用。",2008,民族研究
目前消费经济理论研究中几个值得重视的问题,"从引导消费的方法来讲，可以包括第一，引导消费者改变消费观念，改变对未来经济生活的预期。这要通过宣传和广泛地开展消费者教育
，向广大的消费者传播有关社会经济发展的科学知识才能做到。第二，引导消费者改变货币支出的结构，将一部分储蓄和投资需求转变为消费
需求，这一般要通过改变货币和资本市场的利息率和其他一些途径才能实现。第三，通过改变消费市场的供应和价格，吸引消费者扩大消费需
求，这相对说来是比较长期的任务。因为市场供给的改变要以生产结构的调整作为基本的前提。而生产结构的改变则涉及多方面的变化，需要
较长期的努力。第四，通过改变消费环境来引导消费者扩大市场需求。消费环境不好，不利于消费者购买力的实现，消费环境改善了，消费者
的消费支出可能扩大。第五，通过改变与消费有关的经济体制和经济政策，取消客观上限制消费的那些体制和政策，有利于扩大内需。",2008,商业经济
1996年甲A足球联赛昆明赛区运动员体力情况分析,"通过对1996年甲A足球联赛昆明赛区9场比赛中队员的活动距离及活动方式
的研究，发现目前中国运动员在体力上仍落后于世界水平；高原对运动员的活动
距离影响不明显，但对运动员的活动方式有影响；主客队在高原的体力情况无明
显差异。关键词 高原 活动距离 活动方式主客场赛制
",2007,体育
运动竞赛项目的竞赛方法学分类研究,"以揭示竞赛方法的共性特征、本质联系及内在规律为目的，以竞技体育、社会体育及学
校体育中所有竞赛项目为对象，主要采用文献资料法、访问调查法、逻辑分析法，对竞赛项目
进行分类研究。研究深入具体项目的比赛过程，抓取不同种类项目用作比较的参照系的共仅属
性，并以参照系的共仅属性作为分类标准，实现了运动竞赛项目分类，提出了“竞赛项目分类
体系”和“运动竞赛项目体系”。",2006,体育
历史的终结？――后冷战时代西方政治哲学述介（上）,"哲学总是与现实息息相关的。这不仅表现为哲学关心现实，而且表现为现实在某些关键的历史时刻给哲学以重大影响。冷战的结束就是这种
重大历史时刻，它直接引发了关于后冷战时代的大辩论。关于后冷战时代的世界图景，西方政治哲学中存在着两种完全不同的观点，一种是“历
史终结论”，另一种是“文明冲突论”。本文先介绍第一种观点。
    “历史终结论”的主角是弗朗西斯・福山（Francis Fukuyama）。他在美国《国家利益》杂志1989年夏季号上发表了一篇长文，题目为《历
史的终结？》。而后， 福山将此文扩展为一部轰动一时的著作， 于1992年以《历史的终结和最后的人》为题出版，系统地阐述了他的政治哲学
和历史哲学。福山的文章和著作在美国引起了热烈反应，尽管也有不同的意见，但主流是佳评如潮，赢得了一片喝采声。",1996,外国哲学与哲学史
90年代国外政治理论新动态," 90年代以来，国外政治理论有了新的发展，发表的著作可谓汗牛充栋，浩如烟海，其中有的是属于世纪之交，具有前瞻性的，即所谓展望2
1世纪的全球性发展的，但更多的则是回顾性的，回顾20世纪的世界政治史，自然也是意见纷纷，莫衷一是，无论对苏联解体、东欧巨变，还是
对未来的国际政治格局，以至对主权国家和跨国组织的关系，资本主义与民主的关系，也都存在不同意见。本文仅就管见所及，介绍若干值得注
意的动态，供我国政治学界参考。",1998,政治学研究
